summary,text
movie_to_DoubanRating,What is the Movie rating?
movie_to_DoubanRating,What is the rating of Movie?
movie_to_DoubanRating,What is the Douban rate of Movie?
movie_to_DoubanRating,What is the average rate of Movie?
movie_to_DoubanRating,What is the average ratio of Movie?
movie_to_IMDBRating,What is the IMDB ratio of Movie?
movie_to_IMDBRating,What is the IMDB rating of Movie?
movie_to_casts,What is Movie's cast?
movie_to_casts,What is the cast of Movie?
movie_to_runtimeMinutes,What is the running time of Movie?
movie_to_runtimeMinutes,What is the runtime of Movie?
movie_to_runtimeMinutes,What is the time of Movie?
movie_to_runtimeMinutes,What is the length of Movie?
movie_to_runtimeMinutes,What is Movie's length?
movie_to_release-date,When is Movie's release date?
movie_to_release-date,What is the release date of Movie?
movie_to_Color,What is Movie's color?
movie_to_Color,What is the color of Movie?
person_to_primaryProfession,What is Person's occupation?
person_to_primaryProfession,What is the profession of Person?
person_to_Height,What is Person's height?
person_to_Height,What is the height of Person?
person_to_Born,What is Person's birthday?
person_to_Born,What is the birthday of Person?
person_to_Born,When was Person born?
person_to_Died,When is the death date of Person?
person_to_Died,What is the deathday of Person?
person_to_Died,When did Person die?
person_to_Nicknames,What is Person's nickname?
person_to_Nicknames,What is the nickname of Person?
person_to_trivia,What is Person's trivia?
person_to_trivia,What is the trivia of Person?
person_to_trade-mark,What is Person's trademark?
person_to_trade-mark,What is the trade mark of Person?
movie_to_actor,Who are Movie's actors?
movie_to_actor,Who is the actor of Movie?
movie_to_actor,Who acted Movie?
movie_to_actor,Who plays in Movie?
movie_to_director,Who is Movie's director?
movie_to_director,Who is the director of Movie?
movie_to_director,Who is the guide of Movie?
movie_to_director,Who directed Movie?
movie_to_director,Who directs Movie?
movie_to_writer,Who is Movie's writer?
movie_to_writer,Who is the writer of Movie??
movie_to_writer,Who is the author of Movie??
movie_to_writer,Who wrote Movie?
movie_to_writer,Who write Movie??
movie_to_editor,Who is Movie's editor?
movie_to_editor,Who is the editor of Movie?
movie_to_editor,Who edit Movie??
movie_to_editor,Who edits Movie?
movie_to_composer,Who is Movie's composer?
movie_to_composer,Who is the composer of Movie?
movie_to_composer,Who compose Movie??
movie_to_composer,Who composed Movie? 
movie_to_cinematographer,Who is Movie's photographer?
movie_to_cinematographer,Who is the photographer of Movie?
movie_to_cinematographer,Who photographed Movie?
movie_to_cinematographer,Who filmed Movie?
movie_to_production-designer,Who is Movie's product designer?
movie_to_production-designer,Who is the production designer of Movie?
movie_to_production-designer,Who designed Movie?
movie_to_production-designer,Who designed and made Movie?
actor_to_movie,What movie did Person play in?
actor_to_movie,What movie are acted by Person?
actor_to_movie,what is the name of the movie acted by Person?
actor_to_movie,What movie are performed by Person?
actor_to_movie,What movie is Person in?
director_to_movie,What movie did Person direct?
director_to_movie,What movie are directed by Person?
director_to_movie,what is the name of the movie directed by Person?
director_to_movie,What movie's director is Person?
writer_to_movie,What movie did Person write?
writer_to_movie,What movie are writed by Person?
writer_to_movie,what is the name of the movie writed by Person?
writer_to_movie,What movie's writer is Person?
editor_to_movie,What is the Movie edited by Person?
editor_to_movie,What movie are edited by Person?
editor_to_movie,what is the name of the movie edited by Person?
editor_to_movie,What movie's editor is Person?
composer_to_movie,What movie did Person compose?
composer_to_movie,What movie are composed by Person?
composer_to_movie,what is the name of the movie composed by Person?
composer_to_movie,What movie's composer is Person?
cinematographer_to_movie,Person is the photographer of which film?
cinematographer_to_movie,What movie are photographed by Person?
cinematographer_to_movie,what is the name of the movie photographed by Person?
cinematographer_to_movie,What movie's cinematographer is Person?
production-designer_to_movie,Person is the production designer of which film?
production-designer_to_movie,What movie are designed by Person?
production-designer_to_movie,what is the name of the movie designed by Person?
production-designer_to_movie,What movie's production designer is Person?
production_to_movie,What movies did Company1 make?
production_to_movie,what movies are producted by Company1?
production_to_movie,what is the name of the movies producted by Company1?
distributor_to_movie,What movie does Company1 release?
distributor_to_movie,what movies are distributed by Company1?
distributor_to_movie,what is the name of the movies distributed by Company1?
movie_to_production,Which company produces Movie?
movie_to_production,what company produce Movie??
movie_to_production,what is the name of the company produce Movie??
movie_to_distributor,What company is the distributor of Movie?
movie_to_distributor,Which company distributed the Movie?
movie_to_distributor,what is the name of the company distributed the Movie?
movie_to_award,What awards did Movie win?
movie_to_award,what award does Movie win?
movie_to_award,what prize does Movie win?
movie_to_award,The prize won by Movie.
person_to_award,What awards did Person win?
person_to_award,what award does Person win?
person_to_award,what prize does Person win?
person_to_award,The prize won by Person.
actor_to_movie_to_director,Who directed the movie starring Person?
actor_to_movie_to_director,Who directed the movie acted by Person?
actor_to_movie_to_director,What is the name of the person directed the movie acted by Person?
actor_to_movie_to_director,Who guided the movie played by Person?
actor_to_movie_to_writer,Who wrote the movie starring Person?
actor_to_movie_to_writer,Who writed the movie acted by Person?
actor_to_movie_to_writer,What is the name of the person writed the movie acted by Person?
actor_to_movie_to_writer,Who writed the movie played by Person?
actor_to_movie_to_editor,Who decides the movie starring Person?
actor_to_movie_to_editor,Who ecited the movie acted by Person?
actor_to_movie_to_editor,What is the name of the person ecited the movie acted by Person?
actor_to_movie_to_editor,Who ecited the movie played by Person?
actor_to_movie_to_composer,Who wrote the movie starring Person?
actor_to_movie_to_composer,Who composed the movie acted by Person?
actor_to_movie_to_composer,What is the name of the person composed the movie acted by Person?
actor_to_movie_to_composer,Who composed the movie played by Person?
actor_to_movie_to_cinematographer,Who made the movie starring Person?
actor_to_movie_to_cinematographer,Who photographed the movie acted by Person?
actor_to_movie_to_cinematographer,What is the name of the person photographed the movie acted by Person?
actor_to_movie_to_cinematographer,Who photographed the movie played by Person?
actor_to_movie_to_production-designer,Who designed the film starring Person?
actor_to_movie_to_production-designer,Who designed the movie acted by Person?
actor_to_movie_to_production-designer,What is the name of the person designed the movie acted by Person?
actor_to_movie_to_production-designer,Who designed the movie played by Person?
director_to_movie_to_actor,Who acted in the film directed by Person?
director_to_movie_to_actor,Who acted the movie directed by Person?
director_to_movie_to_actor,What is the name of the person acted the movie directed by Person?
director_to_movie_to_actor,Who played the movie guided by Person?
director_to_movie_to_writer,Who wrote the film directed by Person?
director_to_movie_to_writer,Who writed the movie directed by Person?
director_to_movie_to_writer,What is the name of the person writed the movie directed by Person?
director_to_movie_to_writer,Who writed the movie guided by Person?
director_to_movie_to_editor,Who chose the film directed by Person?
director_to_movie_to_editor,Who ecited the movie directed by Person?
director_to_movie_to_editor,What is the name of the person ecited the movie directed by Person?
director_to_movie_to_editor,Who ecited the movie guided by Person?
director_to_movie_to_composer,Who created the film directed by Person?
director_to_movie_to_composer,Who composed the movie directed by Person?
director_to_movie_to_composer,What is the name of the person composed the movie directed by Person?
director_to_movie_to_composer,Who composed the movie guided by Person?
director_to_movie_to_cinematographer,Who made the film directed by Person?
director_to_movie_to_cinematographer,Who photographed the movie directed by Person?
director_to_movie_to_cinematographer,What is the name of the person photographed the movie directed by Person?
director_to_movie_to_cinematographer,Who photographed the movie guided by Person?
director_to_movie_to_production-designer,Who designed the film directed by Person?
director_to_movie_to_production-designer,Who designed the movie directed by Person?
director_to_movie_to_production-designer,What is the name of the person designed the movie directed by Person?
director_to_movie_to_production-designer,Who designed the movie guided by Person?
writer_to_movie_to_actor,Who acted in the film written by Person?
writer_to_movie_to_actor,Who acted the movie writed by Person?
writer_to_movie_to_actor,What is the name of the person acted the movie writed by Person?
writer_to_movie_to_actor,Who played the movie writed by Person?
writer_to_movie_to_director,Who directed the film written by Person?
writer_to_movie_to_director,Who directed the movie writed by Person?
writer_to_movie_to_director,What is the name of the person directed the movie writed by Person?
writer_to_movie_to_director,Who guided the movie writed by Person?
writer_to_movie_to_editor,Who decided the movie Person wrote?
writer_to_movie_to_editor,Who ecited the movie writed by Person?
writer_to_movie_to_editor,What is the name of the person ecited the movie writed by Person?
writer_to_movie_to_composer,Who wrote the movie written by Person?
writer_to_movie_to_composer,Who composed the movie writed by Person?
writer_to_movie_to_composer,What is the name of the person composed the movie writed by Person?
writer_to_movie_to_cinematographer,Who made the movie written by Person?
writer_to_movie_to_cinematographer,Who photographed the movie writed by Person?
writer_to_movie_to_cinematographer,What is the name of the person photographed the movie writed by Person?
writer_to_movie_to_production-designer,Who designed the movie written by Person?
writer_to_movie_to_production-designer,Who designed the movie writed by Person?
writer_to_movie_to_production-designer,What is the name of the person designed the movie writed by Person?
editor_to_movie_to_actor,Who acted in the film designated by Person?
editor_to_movie_to_actor,Who acted the movie ecited by Person?
editor_to_movie_to_actor,What is the name of the person acted the movie ecited by Person?
editor_to_movie_to_director,Who directed the film designated by Person?
editor_to_movie_to_director,Who directed the movie ecited by Person?
editor_to_movie_to_director,What is the name of the person directed the movie ecited by Person?
editor_to_movie_to_writer,Who wrote the movie designated by Person?
editor_to_movie_to_writer,Who writed the movie ecited by Person?
editor_to_movie_to_writer,What is the name of the person writed the movie ecited by Person?
editor_to_movie_to_composer,Who created the movie designated by Person?
editor_to_movie_to_composer,Who composed the movie ecited by Person?
editor_to_movie_to_composer,What is the name of the person composed the movie ecited by Person?
editor_to_movie_to_cinematographer,Who made the movie designated by Person?
editor_to_movie_to_cinematographer,Who photographed the movie ecited by Person?
editor_to_movie_to_cinematographer,What is the name of the person photographed the movie ecited by Person?
editor_to_movie_to_production-designer,Who designed the movie designated by Person?
editor_to_movie_to_production-designer,Who designed the movie ecited by Person?
editor_to_movie_to_production-designer,What is the name of the person designed the movie ecited by Person?
composer_to_movie_to_actor,Who acted in the film written by Person?
composer_to_movie_to_actor,Who acted the movie composed by Person?
composer_to_movie_to_actor,What is the name of the person acted the movie composed by Person?
composer_to_movie_to_director,Who directed the film created by Person?
composer_to_movie_to_director,Who directed the movie composed by Person?
composer_to_movie_to_director,What is the name of the person directed the movie composed by Person?
composer_to_movie_to_writer,Who wrote the movie written by Person?
composer_to_movie_to_writer,Who writed the movie composed by Person?
composer_to_movie_to_writer,What is the name of the person writed the movie composed by Person?
composer_to_movie_to_editor,Who decided on the film created by Person?
composer_to_movie_to_editor,Who ecited the movie composed by Person?
composer_to_movie_to_editor,What is the name of the person ecited the movie composed by Person?
composer_to_movie_to_cinematographer,Who made Person's movie?
composer_to_movie_to_cinematographer,Who photographed the movie composed by Person?
composer_to_movie_to_cinematographer,What is the name of the person photographed the movie composed by Person?
composer_to_movie_to_production-designer,Who designed the film created by Person?
composer_to_movie_to_production-designer,Who designed the movie composed by Person?
composer_to_movie_to_production-designer,What is the name of the person designed the movie composed by Person?
cinematographer_to_movie_to_actor,Who acted in the film made by Person?
cinematographer_to_movie_to_actor,Who acted the movie photographed by Person?
cinematographer_to_movie_to_actor,What is the name of the person acted the movie photographed by Person?
cinematographer_to_movie_to_director,Who directed the film made by Person?
cinematographer_to_movie_to_director,Who directed the movie photographed by Person?
cinematographer_to_movie_to_director,What is the name of the person directed the movie photographed by Person?
cinematographer_to_movie_to_writer,Who wrote the film made by Person?
cinematographer_to_movie_to_writer,Who writed the movie photographed by Person?
cinematographer_to_movie_to_writer,What is the name of the person writed the movie photographed by Person?
cinematographer_to_movie_to_editor,Who decided the movie Person made?
cinematographer_to_movie_to_editor,Who ecited the movie photographed by Person?
cinematographer_to_movie_to_editor,What is the name of the person ecited the movie photographed by Person?
cinematographer_to_movie_to_composer,Who created the film made by Person?
cinematographer_to_movie_to_composer,Who composed the movie photographed by Person?
cinematographer_to_movie_to_composer,What is the name of the person composed the movie photographed by Person?
cinematographer_to_movie_to_production-designer,Who designed the film made by Person?
cinematographer_to_movie_to_production-designer,Who designed the movie photographed by Person?
cinematographer_to_movie_to_production-designer,What is the name of the person designed the movie photographed by Person?
production-designer_to_movie_to_actor,Who acted in the film designed by Person?
production-designer_to_movie_to_actor,Who acted the movie designed by Person?
production-designer_to_movie_to_actor,What is the name of the person acted the movie designed by Person?
production-designer_to_movie_to_director,Who directed the film designed by Person?
production-designer_to_movie_to_director,Who directed the movie designed by Person?
production-designer_to_movie_to_director,What is the name of the person directed the movie designed by Person?
production-designer_to_movie_to_writer,Who wrote the movie designed by Person?
production-designer_to_movie_to_writer,Who writed the movie designed by Person?
production-designer_to_movie_to_writer,What is the name of the person writed the movie designed by Person?
production-designer_to_movie_to_editor,Who decided the movie designed by Person?
production-designer_to_movie_to_editor,Who ecited the movie designed by Person?
production-designer_to_movie_to_editor,What is the name of the person ecited the movie designed by Person?
production-designer_to_movie_to_composer,Who created the film designed by Person?
production-designer_to_movie_to_composer,Who composed the movie designed by Person?
production-designer_to_movie_to_composer,What is the name of the person composed the movie designed by Person?
production-designer_to_movie_to_cinematographer,Who made the movie designed by Person?
production-designer_to_movie_to_cinematographer,Who photographed the movie designed by Person?
production-designer_to_movie_to_cinematographer,What is the name of the person photographed the movie designed by Person?
production_to_movie_to_actor,Who acted in the film made by Company1?
production_to_movie_to_actor,Who acted the movie producted by Company1?
production_to_movie_to_actor,What is the name of the person acted the movie producted by Company1?
production_to_movie_to_director,Who directed the film made by Company1?
production_to_movie_to_director,Who directed the movie producted by Company1?
production_to_movie_to_director,What is the name of the person directed the movie producted by Company1?
production_to_movie_to_writer,Who wrote the film made by Company1?
production_to_movie_to_writer,Who writed the movie producted by Company1?
production_to_movie_to_writer,What is the name of the person writed the movie producted by Company1?
production_to_movie_to_editor,Who chose the film made by Company1?
production_to_movie_to_editor,Who ecited the movie producted by Company1?
production_to_movie_to_editor,What is the name of the person ecited the movie producted by Company1?
production_to_movie_to_composer,Who created the film made by Company1?
production_to_movie_to_composer,Who composed the movie producted by Company1?
production_to_movie_to_composer,What is the name of the person composed the movie producted by Company1?
production_to_movie_to_cinematographer,Who made the film made by Company1?
production_to_movie_to_cinematographer,Who photographed the movie producted by Company1?
production_to_movie_to_cinematographer,What is the name of the person photographed the movie producted by Company1?
production_to_movie_to_production-designer,Who designed the film made by Company1?
production_to_movie_to_production-designer,Who designed the movie producted by Company1?
production_to_movie_to_production-designer,What is the name of the person designed the movie producted by Company1?
distributor_to_movie_to_actor,Who starred in the Company1 release?
distributor_to_movie_to_actor,Who acted the movie distributed by Company1?
distributor_to_movie_to_actor,What is the name of the person acted the movie distributed by Company1?
distributor_to_movie_to_director,Who directed the Company1 release?
distributor_to_movie_to_director,Who directed the movie distributed by Company1?
distributor_to_movie_to_director,What is the name of the person directed the movie distributed by Company1?
distributor_to_movie_to_writer,Who wrote the film released by Company1?
distributor_to_movie_to_writer,Who writed the movie distributed by Company1?
distributor_to_movie_to_writer,What is the name of the person writed the movie distributed by Company1?
distributor_to_movie_to_editor,Who decided on the film released by Company1?
distributor_to_movie_to_editor,Who ecited the movie distributed by Company1?
distributor_to_movie_to_editor,What is the name of the person ecited the movie distributed by Company1?
distributor_to_movie_to_composer,Who created the film released by Company1?
distributor_to_movie_to_composer,Who composed the movie distributed by Company1?
distributor_to_movie_to_composer,What is the name of the person composed the movie distributed by Company1?
distributor_to_movie_to_cinematographer,Who made the Company1 release?
distributor_to_movie_to_cinematographer,Who photographed the movie distributed by Company1?
distributor_to_movie_to_cinematographer,What is the name of the person photographed the movie distributed by Company1?
distributor_to_movie_to_production-designer,Who designed the Company1 release?
distributor_to_movie_to_production-designer,Who designed the movie distributed by Company1?
distributor_to_movie_to_production-designer,What is the name of the person designed the movie distributed by Company1?
actor_to_movie_to_production,Which company produced a movie starring Person?
actor_to_movie_to_production,What company producted the movie acted by Person?
actor_to_movie_to_production,What is the name of the company producted the movie acted by Person?
director_to_movie_to_production,Which company produced the film directed by Person?
director_to_movie_to_production,What company producted the movie directed by Person?
director_to_movie_to_production,What is the name of the company producted the movie directed by Person?
writer_to_movie_to_production,Which company produced the film written by Person?
writer_to_movie_to_production,What company producted the movie writed by Person?
writer_to_movie_to_production,What is the name of the company producted the movie writed by Person?
editor_to_movie_to_production,Which company produced the film designated by Person?
editor_to_movie_to_production,What company producted the movie ecited by Person?
editor_to_movie_to_production,What is the name of the company producted the movie ecited by Person?
composer_to_movie_to_production,Which company produced the film created by Person?
composer_to_movie_to_production,What company producted the movie composed by Person?
composer_to_movie_to_production,What is the name of the company producted the movie composed by Person?
cinematographer_to_movie_to_production,Which company produced the film made by Person?
cinematographer_to_movie_to_production,What company producted the movie photographed by Person?
cinematographer_to_movie_to_production,What is the name of the company producted the movie photographed by Person?
production-designer_to_movie_to_production,Which company produced the film designed by Person?
production-designer_to_movie_to_production,What company producted the movie designed by Person?
production-designer_to_movie_to_production,What is the name of the company producted the movie designed by Person?
actor_to_movie_to_distributor,Which company released the film starring Person?
actor_to_movie_to_distributor,What company distributed the movie acted by Person?
actor_to_movie_to_distributor,What is the name of the company distributed the movie acted by Person?
director_to_movie_to_distributor,Which company released the films directed by Person?
director_to_movie_to_distributor,What company distributed the movie directed by Person?
director_to_movie_to_distributor,What is the name of the company distributed the movie directed by Person?
writer_to_movie_to_distributor,Which company released the film written by Person?
writer_to_movie_to_distributor,What company distributed the movie writed by Person?
writer_to_movie_to_distributor,What is the name of the company distributed the movie writed by Person?
editor_to_movie_to_distributor,Which company has released the films designated by Person?
editor_to_movie_to_distributor,What company distributed the movie ecited by Person?
editor_to_movie_to_distributor,What is the name of the company distributed the movie ecited by Person?
composer_to_movie_to_distributor,Which company has released the films created by Person?
composer_to_movie_to_distributor,What company distributed the movie composed by Person?
composer_to_movie_to_distributor,What is the name of the company distributed the movie composed by Person?
cinematographer_to_movie_to_distributor,Which company released the films made by Person?
cinematographer_to_movie_to_distributor,What company distributed the movie photographed by Person?
cinematographer_to_movie_to_distributor,What is the name of the company distributed the movie photographed by Person?
production-designer_to_movie_to_distributor,Which company has released Person designed films?
production-designer_to_movie_to_distributor,What company distributed the movie designed by Person?
production-designer_to_movie_to_distributor,What is the name of the company distributed the movie designed by Person?
movie_to_actor_to_movie,What movie does Movie's actor play?
movie_to_actor_to_movie,What movie is acted by the actor of Movie?
movie_to_actor_to_movie,What is the name of the movie acted by the actor of Movie?
movie_to_director_to_movie,Which movie did Movie's director direct?
movie_to_director_to_movie,What movie is directed by the director of Movie?
movie_to_director_to_movie,What is the name of the movie directed by the director of Movie?
movie_to_writer_to_movie,What movie did the author of Movie write?
movie_to_writer_to_movie,What movie is writed by the writer of Movie?
movie_to_writer_to_movie,What is the name of the movie writed by the writer of Movie?
movie_to_editor_to_movie,Which movie did the editor of Movie specify?
movie_to_editor_to_movie,What movie is ecited by the editor of Movie?
movie_to_editor_to_movie,What is the name of the movie ecited by the editor of Movie?
movie_to_composer_to_movie,What films did the composer of Movie create?
movie_to_composer_to_movie,What movie is composed by the composer of Movie?
movie_to_composer_to_movie,What is the name of the movie composed by the composer of Movie?
movie_to_cinematographer_to_movie,What movie did Movie's photographer shoot?
movie_to_cinematographer_to_movie,What movie is photographed by the photographer of Movie?
movie_to_cinematographer_to_movie,What is the name of the movie photographed by the photographer of Movie?
movie_to_production-designer_to_movie,What movie did the production designer of Movie design?
movie_to_production-designer_to_movie,What movie is designed by the production designer of Movie?
movie_to_production-designer_to_movie,What is the name of the movie designed by the production designer of Movie?
movie_to_actor_to_primaryProfession,What is the profession of Movie actor?
movie_to_actor_to_primaryProfession,What is the profession of the actor of Movie?
movie_to_actor_to_primaryProfession,What is the profession of the player in Movie?
movie_to_director_to_primaryProfession,What is the occupation of Movie director?
movie_to_director_to_primaryProfession,What is the profession of the director of Movie?
movie_to_director_to_primaryProfession,What is the profession of the guide of Movie?
